225,小萝莉的猴神大叔,8.5,2015,印度,剧情 喜剧 动作
226,血钻,8.6,2006,美国 德国,剧情 惊悚 冒险
227,城市之光,9.3,1931,美国,喜剧 剧情 爱情
228,再次出发之纽约遇见你,8.5,2013,美国,喜剧 爱情 音乐
229,彗星来的那一夜,8.5,2013,美国 英国,科幻 悬疑 惊悚
230,追随,8.9,1998,英国,犯罪 悬疑 惊悚
231,疯狂的麦克斯4：狂暴之路,8.6,2015,澳大利亚 美国,动作 科幻 冒险
232,哈利·波特与密室,8.5,2002,美国 英国 德国,奇幻 冒险
233,一次别离,8.7,2011,伊朗 法国,剧情 家庭
234,东京物语,9.2,1953,日本,剧情 家庭
235,聚焦,8.8,2015,美国,剧情 传记
236,遗愿清单,8.6,2007,美国,冒险 喜剧 剧情
237,小偷家族,8.7,2018,日本,剧情 犯罪 家庭
238,撞车,8.6,2004,美国 德国,犯罪 剧情
239,发条橙,8.5,1971,英国 美国,犯罪 剧情 科幻
240,色，戒,8.4,2007,中国台湾 中国大陆 美国 中国香港,剧情 爱情 情色
241,梦之安魂曲,8.7,2000,美国,剧情
242,黑鹰坠落,8.6,2001,美国,动作 历史 战争
243,驴得水,8.3,2016,中国大陆,剧情 喜剧
244,大佛普拉斯,8.7,2017,中国台湾,剧情 喜剧 犯罪
245,我爱你,9,2011,韩国,剧情 爱情
246,E.T. 外星人,8.6,1982,美国,剧情 科幻
247,末路狂花,8.7,1991,美国 法国,犯罪 剧情 惊悚
248,千钧一发,8.7,1997,美国,剧情 科幻 惊悚
249,变脸,8.5,1997,美国,动作 科幻 犯罪 惊悚
250,这个男人来自地球,8.5,2007,美国,剧情 科幻
